name	kind	source_kind	layer	defined_in
git_commit_parent	symbol	function_exported	2	src/libgit2/commit.c
git_commit_parent_id	symbol	function_exported	2	src/libgit2/commit.c
git_commit_parentcount	symbol	function_exported	2	src/libgit2/commit.c
git_commit_raw_header	symbol	function_exported	2	src/libgit2/commit.c
git_commit_summary	symbol	function_exported	2	src/libgit2/commit.c
git_commit_time	symbol	function_exported	2	src/libgit2/commit.c
git_commit_time_offset	symbol	function_exported	2	src/libgit2/commit.c
git_commit_tree	symbol	function_exported	2	src/libgit2/commit.c
git_commit_tree_id	symbol	function_exported	2	src/libgit2/commit.c
git_config_get_entry	symbol	function_exported	2	src/libgit2/config.c
git_cred_default_new	symbol	function_exported	2	src/libgit2/transports/credential.c
git_cred_has_username	symbol	function_exported	2	src/libgit2/transports/credential.c
git_cred_ssh_key_from_agent	symbol	function_exported	2	src/libgit2/transports/credential.c
git_cred_ssh_key_memory_new	symbol	function_exported	2	src/libgit2/transports/credential.c
git_cred_ssh_key_new	symbol	function_exported	2	src/libgit2/transports/credential.c
git_cred_username_new	symbol	function_exported	2	src/libgit2/transports/credential.c
git_cred_userpass_plaintext_new	symbol	function_exported	2	src/libgit2/transports/credential.c
git_index_add	symbol	function_exported	2	src/libgit2/index.c
git_index_add_all	symbol	function_exported	2	src/libgit2/index.c
git_index_add_bypath	symbol	function_exported	2	src/libgit2/index.c
git_index_add_frombuffer	symbol	function_exported	2	src/libgit2/index.c
git_index_clear	symbol	function_exported	2	src/libgit2/index.c
git_index_conflict_get	symbol	function_exported	2	src/libgit2/index.c
git_index_conflict_iterator_new	symbol	function_exported	2	src/libgit2/index.c
git_index_conflict_next	symbol	function_exported	2	src/libgit2/index.c
git_index_conflict_remove	symbol	function_exported	2	src/libgit2/index.c
git_index_entrycount	symbol	function_exported	2	src/libgit2/index.c
git_index_find_prefix	symbol	function_exported	2	src/libgit2/index.c
git_index_get_byindex	symbol	function_exported	2	src/libgit2/index.c
git_index_get_bypath	symbol	function_exported	2	src/libgit2/index.c
git_index_has_conflicts	symbol	function_exported	2	src/libgit2/index.c
git_index_new	symbol	function_exported	2	src/libgit2/index.c
git_index_open	symbol	function_exported	2	src/libgit2/index.c
git_index_path	symbol	function_exported	2	src/libgit2/index.c
git_index_read	symbol	function_exported	2	src/libgit2/index.c
git_index_read_tree	symbol	function_exported	2	src/libgit2/index.c
git_index_remove	symbol	function_exported	2	src/libgit2/index.c
git_index_remove_all	symbol	function_exported	2	src/libgit2/index.c
git_index_remove_bypath	symbol	function_exported	2	src/libgit2/index.c
git_index_remove_directory	symbol	function_exported	2	src/libgit2/index.c
git_index_set_version	symbol	function_exported	2	src/libgit2/index.c
git_index_update_all	symbol	function_exported	2	src/libgit2/index.c
git_index_version	symbol	function_exported	2	src/libgit2/index.c
git_index_write	symbol	function_exported	2	src/libgit2/index.c
git_index_write_tree	symbol	function_exported	2	src/libgit2/index.c
git_index_write_tree_to	symbol	function_exported	2	src/libgit2/index.c
git_mailmap_resolve_signature	symbol	function_exported	2	src/libgit2/mailmap.c
git_merge_bases	symbol	function_exported	2	src/libgit2/merge.c
git_merge_bases_many	symbol	function_exported	2	src/libgit2/merge.c
git_merge_file	symbol	function_exported	2	src/libgit2/merge_file.c
git_merge_file_from_index	symbol	function_exported	2	src/libgit2/merge_file.c
git_merge_file_options_init	symbol	function_exported	2	src/libgit2/merge.c
git_message_trailers	symbol	function_exported	2	src/libgit2/trailer.c
git_note_author	symbol	function_exported	2	src/libgit2/notes.c
git_note_committer	symbol	function_exported	2	src/libgit2/notes.c
git_note_create	symbol	function_exported	2	src/libgit2/notes.c
git_note_remove	symbol	function_exported	2	src/libgit2/notes.c
git_odb_add_disk_alternate	symbol	function_exported	2	src/libgit2/odb.c
git_odb_exists	symbol	function_exported	2	src/libgit2/odb.c
git_odb_exists_ext	symbol	function_exported	2	src/libgit2/odb.c
git_odb_exists_prefix	symbol	function_exported	2	src/libgit2/odb.c
git_odb_foreach	symbol	function_exported	2	src/libgit2/odb.c
git_odb_new	symbol	function_exported	2	src/libgit2/odb.c
git_odb_open_rstream	symbol	function_exported	2	src/libgit2/odb.c
